iter	Passed	Remaining
420	2151	2959
421	2156	2953
422	2176	2969
423	2182	2965
424	2190	2963
425	2194	2956
426	2200	2952
427	2211	2956
428	2221	2956
429	2227	2952
430	2237	2953
431	2241	2946
432	2244	2938
433	2251	2936
434	2255	2929
435	2262	2926
436	2268	2922
437	2272	2916
438	2280	2914
439	2293	2919
440	2297	2912
441	2300	2904
442	2305	2898
443	2323	2909
444	2330	2906
445	2337	2902
446	2341	2896
447	2351	2897
448	2366	2903
449	2373	2901
450	2382	2900
451	2389	2896
452	2393	2890
453	2399	2885
454	2406	2882
455	2419	2886
456	2425	2882
457	2429	2875
458	2437	2873
459	2441	2865
460	2452	2867
461	2459	2863
462	2464	2858
463	2472	2855
464	2474	2847
465	2480	2842
466	2483	2834
467	2488	2828
468	2490	2819
469	2501	2821
470	2505	2813
471	2510	2808
472	2517	2805
473	2520	2797
474	2522	2788
475	2533	2788
476	2536	2781
477	2539	2773
478	2547	2770
479	2549	2762
480	2551	2753
481	2556	2747
482	2560	2741
483	2563	2733
484	2565	2724
485	2567	2715
486	2578	2715
487	2611	2740
488	2616	2734
489	2621	2729
490	2623	2719
491	2625	2710
492	2635	2710
493	2638	2702
494	2640	2694
495	2642	2685
496	2644	2676
497	2645	2667
498	2653	2664
499	2655	2655
500	2657	2647
501	2662	2641
502	2668	2636
503	2671	2628
504	2673	2620
505	2675	2611
506	2683	2609
507	2685	2600
508	2687	2592
509	2689	2583
510	2697	2581
511	2704	2577
512	2706	2569
513	2720	2572
514	2730	2571
515	2733	2564
516	2736	2556
517	2738	2547
518	2753	2552
519	2761	2549
520	2769	2546
521	2777	2543
522	2813	2565
523	2826	2567
524	2866	2593
525	2874	2590
526	2879	2584
527	2933	2622
528	2937	2615
529	2980	2643
530	2983	2635
531	2992	2632
532	2998	2627
533	3028	2642
534	3030	2633
535	3038	2630
536	3045	2625
537	3063	2630
538	3068	2624
539	3079	2623
540	3089	2621
541	3096	2616
542	3101	2610
543	3110	2607
544	3124	2608
545	3132	2604
546	3137	2598
547	3146	2595
548	3152	2589
549	3160	2586
550	3166	2580
551	3169	2572
552	3182	2572
553	3185	2564
554	3195	2562
555	3198	2554
556	3203	2548
557	3208	2541
558	3216	2537
559	3222	2531
560	3229	2526
561	3233	2519
562	3236	2511
563	3241	2506
564	3268	2516
565	3270	2507
566	3277	2503
567	3281	2496
568	3285	2488
569	3295	2486
570	3298	2478
571	3301	2470
572	3311	2468
573	3318	2463
574	3325	2457
575	3338	2457
576	3340	2448
577	3352	2447
578	3356	2440
579	3369	2439
580	3372	2432
581	3375	2424
582	3385	2421
583	3390	2415
584	3396	2409
585	3399	2401
586	3401	2393
587	3407	2387
588	3411	2380
589	3414	2373
590	3431	2374
591	3435	2367
592	3444	2363
593	3455	2361
594	3457	2353
595	3460	2345
596	3467	2340
597	3471	2333
598	3472	2324
599	3475	2317
600	3483	2312
601	3488	2306
602	3491	2298
603	3496	2292
604	3500	2285
605	3503	2278
606	3511	2273
607	3517	2267
608	3520	2260
609	3528	2255
610	3535	2250
611	3540	2244
612	3556	2245
613	3563	2240
614	3572	2236
615	3576	2229
616	3578	2221
617	3585	2216
618	3590	2209
619	3594	2202
620	3603	2199
621	3631	2207
622	3642	2204
623	3655	2202
624	3657	2194
625	3674	2195
626	3681	2190
627	3688	2184
628	3691	2177
629	3697	2171
630	3701	2164
631	3703	2156
632	3708	2150
633	3729	2153
634	3733	2145
635	3735	2137
636	3742	2132
637	3750	2128
638	3755	2121
639	3763	2116
640	3765	2109
641	3772	2103
642	3781	2099
643	3791	2096
644	3794	2088
645	3797	2081
646	3806	2077
647	3811	2070
648	3819	2065
649	3836	2065
650	3840	2058
651	3852	2056
652	3856	2049
653	3866	2045
654	3869	2038
655	3873	2031
656	3885	2028
657	3896	2025
658	3899	2017
659	3902	2010
660	3912	2006
661	3916	1999
662	3924	1994
663	3927	1987
664	3936	1983
665	3940	1976
666	3944	1969
667	3954	1965
668	3958	1958
669	3960	1950
670	3971	1947
671	3985	1945
672	3990	1938
673	3992	1930
674	3998	1925
675	4008	1921
676	4018	1917
677	4021	1910
678	4023	1902
679	4035	1899
680	4036	1890
681	4040	1883
682	4053	1881
683	4056	1874
684	4064	1868
685	4067	1861
686	4069	1853
687	4075	1848
688	4078	1840
689	4080	1833
690	4089	1828
691	4092	1821
692	4100	1816
693	4103	1809
694	4108	1803
695	4111	1795
696	4113	1788
697	4125	1785
698	4128	1777
699	4130	1770
700	4138	1765
701	4141	1758
702	4143	1750
703	4157	1748
704	4171	1745
705	4173	1737
706	4188	1735
707	4192	1729
708	4195	1722
709	4202	1716
710	4204	1709
711	4214	1704
712	4216	1697
713	4219	1690
714	4221	1682
715	4232	1678
716	4235	1671
717	4237	1664
718	4244	1658
719	4247	1651
720	4249	1644
721	4258	1639
722	4263	1633
723	4272	1628
724	4277	1622
725	4281	1615
726	4291	1611
727	4294	1604
728	4298	1598
729	4304	1592
730	4309	1585
731	4312	1578
732	4318	1573
733	4322	1566
734	4324	1559
735	4327	1552
736	4331	1545
737	4333	1538
738	4336	1531
739	4339	1524
740	4343	1518
741	4348	1511
742	4350	1504
743	4353	1497
744	4358	1491
745	4365	1486
746	4369	1479
747	4373	1473
748	4384	1469
749	4396	1465
750	4400	1458
751	4402	1451
752	4413	1447
753	4415	1440
754	4428	1436
755	4431	1430
756	4447	1427
757	4462	1424
758	4466	1418
759	4480	1414
760	4489	1409
761	4496	1404
762	4512	1401
763	4527	1398
